,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd Tackles,Mid 3rd Tackles,Att 3rd Tackels,Tkl Vs Dribbles,Att Vs Dribbles,Tkl% Vs Dribbles,Past Vs Dribble,Press Pressures,Succ Pressures,% Pressures,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Sh Blocks,ShSv Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-257,1990,19.7,32,19,20,11,1,14,41,34.1,27,205,68,33.2,129,56,20,31,7,1,24,34,66,40,1,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-223,1997,11.6,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0,Matches
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24-304,1996,28.1,29,16,5,13,11,6,22,27.3,16,400,132,33.0,48,152,200,25,4,0,21,10,39,16,1,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-231,1997,29.8,38,23,29,8,1,17,33,51.5,16,165,53,32.1,109,49,7,35,20,0,15,50,88,220,1,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-130,1987,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,32-345,1988,5.9,3,0,0,1,2,2,10,20.0,8,89,24,27.0,8,30,51,5,1,0,4,4,7,1,0,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-217,1996,28.9,47,25,27,14,6,17,40,42.5,23,249,61,24.5,137,90,22,45,7,0,38,51,98,121,0,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-341,2001,13.7,29,15,16,12,1,11,23,47.8,12,194,62,32.0,110,60,24,23,0,0,23,12,41,34,0,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-185,1993,27.9,57,41,43,12,2,18,33,54.5,15,317,125,39.4,208,93,16,53,31,3,22,35,92,131,2,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-084,1995,7.9,11,5,5,4,2,4,5,80.0,1,61,22,36.1,26,27,8,4,2,0,2,5,16,25,0,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,31-176,1989,17.8,39,29,14,16,9,18,51,35.3,33,313,121,38.7,103,129,81,27,2,1,25,27,66,24,0,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,30-032,1991,16.6,50,32,20,22,8,15,40,37.5,25,353,107,30.3,93,181,79,23,0,0,23,27,77,15,0,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-072,1989,21.9,34,16,20,14,0,13,24,54.2,11,183,65,35.5,113,67,3,43,26,1,17,10,44,149,0,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-084,1995,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-218,1998,29.7,54,34,27,21,6,31,54,57.4,23,278,102,36.7,104,101,73,40,3,0,37,35,89,60,1,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,29-090,1992,24.3,70,35,32,30,8,26,71,36.6,45,478,132,27.6,211,200,67,41,6,0,35,31,101,55,0,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-223,1992,29.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,1,6,Matches
18,Allan\Allan,br BRA,MF,Everton,30-125,1991,18.8,62,43,31,29,2,21,72,29.2,51,515,157,30.5,231,256,28,32,11,0,21,20,82,25,0,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,25-032,1996,4.2,7,5,4,2,1,2,7,28.6,5,124,29,23.4,21,49,54,6,1,0,5,8,15,3,0,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-092,1994,24.1,47,28,21,23,3,15,50,30.0,35,451,104,23.1,152,186,113,35,5,2,30,24,71,23,1,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-136,1990,10.7,13,8,5,5,3,3,17,17.6,14,140,41,29.3,61,49,30,22,1,0,21,11,24,37,0,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-247,1998,8.2,17,13,11,3,3,2,6,33.3,4,125,48,38.4,36,57,32,15,1,0,14,5,22,9,1,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-143,1994,8.0,12,6,7,3,2,7,12,58.3,5,62,24,38.7,37,22,3,19,5,1,14,12,24,42,0,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-241,2000,23.2,62,36,31,26,5,21,49,42.9,28,359,101,28.1,180,138,41,48,20,0,28,39,101,120,2,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-347,1996,28.7,36,22,20,12,4,17,34,50.0,17,178,62,34.8,117,50,11,30,15,0,15,48,84,221,1,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-188,2002,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,28-028,1993,0.0,1,1,0,1,0,0,2,0.0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-046,1990,19.2,11,5,1,5,5,2,7,28.6,5,210,56,26.7,14,72,124,21,9,0,12,7,18,8,0,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-075,1993,34.0,1,1,1,0,0,1,4,25.0,3,4,0,0.0,4,0,0,0,0,0,0,0,1,0,1,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-044,1992,27.9,67,40,25,30,12,29,75,38.7,46,456,133,29.2,155,200,101,30,1,0,29,29,96,19,1,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-222,1994,6.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,4,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-329,1989,24.0,17,5,8,7,2,4,20,20.0,16,320,78,24.4,55,130,135,26,2,0,24,6,23,14,0,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-140,1992,17.8,73,38,45,23,5,21,51,41.2,30,384,112,29.2,210,126,48,43,6,0,37,24,97,52,2,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-312,1989,1.5,4,3,2,1,1,1,2,50.0,1,23,7,30.4,5,8,10,0,0,0,0,2,6,3,0,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-244,1991,22.2,50,32,7,28,15,14,43,32.6,29,644,154,23.9,131,333,180,28,2,0,26,25,75,10,0,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-261,1991,34.8,105,61,63,32,10,35,77,45.5,42,491,169,34.4,258,183,50,75,30,1,45,56,161,91,2,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-258,1989,22.4,48,28,22,20,6,19,31,61.3,12,315,92,29.2,142,127,46,33,7,0,26,35,83,93,1,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,27-031,1994,8.2,8,5,4,3,1,0,0,,0,45,16,35.6,21,23,1,15,14,0,1,17,25,44,0,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-263,1991,13.3,24,14,20,4,0,12,24,50.0,12,134,45,33.6,88,44,2,25,6,1,19,14,38,89,1,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-065,1993,29.0,50,24,30,16,4,21,46,45.7,25,431,102,23.7,187,163,81,41,8,1,33,33,83,76,0,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-301,1989,8.8,14,9,4,6,4,4,12,33.3,8,111,33,29.7,25,48,38,15,2,0,13,9,23,17,0,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-250,1993,31.8,22,15,5,9,8,5,25,20.0,20,554,160,28.9,32,235,287,15,8,1,7,13,35,34,0,Matches
